S.No,Crop,Disease Name,Tamil Control Message
123,Tapioca,leaf spot disease (இலை புள்ளி நோய்),0.25% காப்பர் ஆக்ஸிகுளோரைடு தெளிக்கவும் அல்லது மேன்கோசெப் 2 கிராம்/லிட்டர் பதிினைந்து நாள் இடைவெளியில் தெளிக்கவும்
124,Tapioca,tuber rot disease (வேர் அழுகல் நோய்),தண்ணீர் தேங்குவதை தவிர்க்கவும். நல்ல வடிகால் வசதி செய்து தரவும். காப்பர் ஆக்ஸிகுளோரைடு 2.5 கிராம்/லிட்டர் அல்லது ஸ்டாப்ளின் டியூரான்ச்ரோம் @ 2.5 கிலோ/எக்டர்ருக்கு அடியுரமாக மற்றும் நடவு செய்த 3வது மற்றும் 6வது மாதத்தில் மண்ணில் இடவும்.
125,Tapioca,mosaic virus disease (மரவள்ளி தேமல் நோய்),நல்ல ஆரோக்யமான செடிகளிலிருந்து விதை கரணைகளை தேர்ந்தெடுத்தெடுக்க வேண்டும் பாதிக்கப்பட்ட செடிகளை ஆரம்ப நிலையிலேயே அகற்றி வேண்டும் வெள்ளை ஈ கட்டுப்படுத்த இமிடாகுளோபிரிட் மூலம் கட்டுப்படுத்தலாம் மற்றும் களை ஒழிப்பிலும் அதிர்தல் வேப்ப எண்ணெய் 3% அளவில் தெளிக்கவும் அல்லது மீதைல் டெமட்டான் 2 மி.லி தெளிக்கவும் டைமெத்தோயேட் 1 மி.லி அளவில் தெளிப்பதன் மூலம் நோய் பரவுதலை தடுக்கலாம்
126,Mango,Powdery mildew (சாம்பல் நோய்),2 கிராம் நனையும் கந்தகத் தூளை ஒரு லிட்டர் நீரில் கலந்து தெளிக்கவேண்டும்.
127,Banana,Stem weevil (தண்டு கூன் வண்டு),"அவ்வப்போது காய்ந்த இலைகளை அகற்றவும், நிலத்தை தூய்மையாக வைத்துக் கொள்ள வேண்டும். ஒவ்வொரு மாதமும் ஒவ்வொரு மரத்தின் தண்டுப் பாகங்களை நீக்கவும் பாதிக்கப்பட்ட பகுதிகளை வேறோடு பிடுங்கி அழித்து விட வேண்டும். அறுவடை முடிந்த பின் தண்டை பிடுங்கி அழித்திடவும், கையோடு குலைகளை நீக்கி விட்டு, இதன் மூலம் முதல் மற்ற வண்டுகள் பெருகுவதை தவிர்க்கலாம். வண்டுகள் அதிகம் காணப்படும் இடங்களில் மல்லாட்டை எனும் அறுவடைக்குப் பின் இலைகளை உரமாக வயலில் இடும் முறையினை தவிர்க்கலாம். வெட்டப்பட்ட இலைகளில் குளோரோபைரிபாஸ் (2.5 லி/லி) + 1 லி ஒட்டும் திரவத்தில் கலந்து தெளிவு கொண்டு தரைக்குக் கீழ்ப்பட்ட வெட்டப்பட்ட (நீக்கப்பட்ட) பகுதியில் மீது 20 கி.கி. பியூரேரியா பேசியானா பூஞ்சை அல்லது மெட்டாரைசியம் அனிசோபிலியே என்ற இரு பூஞ்சை மருந்துகளையும் கொண்டு கட்டுப்படுத்தலாம். இக்கன்றுகளை நோய் வாய்ப்புள்ள வயலில் நடவு செய்வதை தவிர்க்கவும். இப்பாசனத்தில் நடப்பட்டபின் தண்டுப்பகுப்பிலும் இலைப்பகுதியிலும் (45 செ.மீ நீளம்) வாழைப்பின் தண்டினை இரண்டாக நீளவாக்கில் பிளந்து தயாரிக்கப்படுகிறது. இத்தகைய நாற்றுகளை வயலில் ஆங்காங்கு ஏக்கருக்கு 25 என்ற விதத்தில் வைத்து இக்கூன் வண்டுகள் கட்டுப்படுத்தப்படுகிறது."
128,Banana,Bunchy-top (குலைத்தொகுப்பு நோய்),வைரஸ் பரவாத நாற்றுகளை நடவுக்கு பயன்படுத்தவேண்டும். பாதிக்கப்பட்ட வாழை மரங்களை நீக்கம் செய்தல் வேண்டும்.
129,Banana,Banana aphid (அசுவினி),"பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். மான்கோசெப் 2 கிலோ (அ) காப்பர் ஆக்ஸிகுளோரைடு 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்க வேண்டும்."
130,Banana,Sigatoka leaf spot (சிக்கடோகா இலைப்புள்ளி நோய்),"பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். மான்கோசெப் 2 கிலோ (அ) காப்பர் ஆக்ஸிகுளோரைடு 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்க வேண்டும்."
131,Banana,Anthracnose (புறவழைக் கரும்புள்ளி நோய்),"பாதிக்கப்பட்ட பகுதிகளை எரித்து அழிக்கவேண்டும். நிலத்தில் களைகளை அகற்றிடும், நல்ல வடிகால் வசதி அமைத்து பராமரிக்க வேண்டும். அறுவடை மற்றும் பொறுப்பு அனுப்பும் போதும், சேமிக்கும்போதும் பழங்களை முடிந்தவரை தொற்று நேராமலிருந்து பாதுகாத்துத் தாரீகரைச் சரியாகத் தருவிடை செய்திட வேண்டும். சரியான ஈரப்பதம் மூடியும் தொற்றுத் தடுக்கலாம். தொற்று ஏற்பட்ட சேமிப்பை அருகிலுள்ள நீக்கப்படுவதன் மூலம் மற்றவை தொற்றுவதிலிருந்து தடுக்கப்படுகிறது. அறுவடைக்குப்பின், தார்க்களில் எந்த தொற்று இல்லதாவைகளை 7 - 10° சென்சியஸில் கவனமாக சேமித்து வைக்கவேண்டும்."
132,Banana,Panama Disease (பனாமா வாடல் நோய்),"குளோரோபைரிபாஸ் @ 2.5kg / ஹெக்டர் மண்ணில் ஊடுருவக்கூடிய கொல்லி, தொழு உரம் மற்றும் வேப்பம் புண்ணாக்கு கலந்து இடலாம் குளோரோபைரிபாஸ் (60 மி.லி) வேப்பம் பிண்ணாக்கு 10 செ.மீ ஆழமான துளை இட்டு இடவேண்டும். கார்பன்டாசிம் 50 மில்லி காப்பர் ஆக்ஸிகுளோரைடு அல்லது 2 சதவீதம் கார்பன்டசிம் ஊசியின் மூலமாக இடவேண்டும்."
133,Papaya,Root rot and wilt (வேர் அழுகல் நோய்),இதனைக் கட்டுப்படுத்த 0.1 சதவீத போர்டோக்ஸ் கலவை அல்லது 0.2 மெட்டாலாக்சில் அல்லது காப்பர் ஆக்ஸிகுளோரைடு தெளிக்கவும். 15 நாட்கள் இடைவெளியில் 2 அல்லது 4 முறை பூம்பொடியாக்கவேண்டும்.
134,Sapota,Sooty mould (கரும் பூஞ்சாண நோய்),1 கிலோ மைதா (அ) ஸ்டார்ச் வினை 5 லிட்டர் தண்ணீரில் கலந்து கொதிக்க வைக்கவேண்டும். அரியபின் 20 லிட்டர் தண்ணீரில் (5%) கலந்து தெளிக்கவேண்டும். மேகமூட்டம் இருக்கும் போது தெளிப்பதை தவிர்க்கவும்.
135,Guava,Red rust (சிவப்பு துரு நோய்),0.25% காப்பர் ஆக்ஸிகுளோரைடு தெளிக்கவும் அல்லது மேன்கோசெப் 2 கிராம்/லிட்டர் பதிினைந்து நாள் இடைவெளியில் தெளிக்கவும்
136,Coconut,Tall rhinoceros beetle (கள்ளி மாவு வண்டு),கள்ளி மாவு வண்டுகளை கைப்பிடித்து அழிக்க வேண்டும். ஒரு சதுர கி.மீ.க்கு 1000 விளக்குகள் அமைக்க வேண்டும். இரவில் 25 - 30 வாட் பல்புகள் அமைக்க வேண்டும். 10-15 நாட்கள் இடைவெளியில் 45 - 50 நாட்கள் வரை இவ்வாறு செய்ய வேண்டும். பூச்சிகளை கவர்ந்து இழுக்கும் மஞ்சள் ஒளிக்கூடுகளை வைக்க வேண்டும். இவை பூச்சிகளை கவர்ந்து இழுத்துக்கொள்ளும். 5 வாரம் வரை இவ்வாறு செய்தால் பூச்சிகள் இறந்துவிடும்.
137,Coconut,Leaf blight (இலைப்புள்ளி நோய்),பாதிக்கப்பட்ட இலைகளை அகற்றி அழித்துவிட வேண்டும். போர்டாக்ஸ் கலவையை 1000 கிராம் / எக்டர் என்ற அளவில் தெளிக்க வேண்டும். கார்பன்டாசிம் 100 கிராம் அல்லது மான்கோசெப் 200 கிராம் மருந்தை 200 லிட்டர் தண்ணீரில் கலந்து இலைகள் நன்கு நனையும்படி தெளிப்பானால் இந்த நோயினை கட்டுப்படுத்தலாம்.
138,Coconut,Bud rot (குருத்து அழுகல்),பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். போர்டாக்ஸ் கலவையை 1000 கிராம் / எக்டர் என்ற அளவில் தெளிக்க வேண்டும். கார்பன்டாசிம் 100 கிராம் அல்லது மான்கோசெப் 200 கிராம் மருந்தை 200 லிட்டர் தண்ணீரில் கலந்து இலைகள் நன்கு நனையும்படி தெளிப்பானால் இந்த நோயினை கட்டுப்படுத்தலாம்.
139,Coconut,Potassium deficiency (பொட்டாசியம் குறைபாடு),2 கிலோ பொட்டாசியம் சல்பேட்டை 200 லிட்டர் நீரில் கலந்து 10 நாட்கள் இடைவெளியில் இலை வழியாக தெளிக்க வேண்டும்.
140,Coconut,Leaf spot (இலைப்புள்ளி நோய்),பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். போர்டாக்ஸ் கலவையை 1000 கிராம் / எக்டர் என்ற அளவில் தெளிக்க வேண்டும். கார்பன்டாசிம் 100 கிராம் அல்லது மான்கோசெப் 200 கிராம் மருந்தை 200 லிட்டர் தண்ணீரில் கலந்து இலைகள் நன்கு நனையும்படி தெளிப்பானால் இந்த நோயினை கட்டுப்படுத்தலாம்.
141,Onion,Leaf spot (இலைப்புள்ளி நோய்),"கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்க வேண்டும்."
